id,city_name,city_state
940,Placentia,CA
941,Aliso Viejo,CA
942,Wheaton,MD
943,Cathedral City,CA
944,Rosemead,CA
945,Burien,WA
946,Bozeman,MT
947,Florin,CA
948,Twin Falls,ID
949,Enid,OK
950,Country Club,FL
951,Dunwoody,GA
952,Levittown,PA
953,Palm Desert,CA
954,Covina,CA
955,Cuyahoga Falls,OH
956,Lakewood,OH
957,Marana,AZ
958,Mishawaka,IN
959,Columbus,IN
960,Troy,NY
961,North Bethesda,MD
962,Milford city ,CT
963,Collierville,TN
964,Grapevine,TX
965,Summerville,SC
966,Cypress,CA
967,Downers Grove,IL
968,Murray,UT
969,Catalina Foothills,AZ
970,East Honolulu,HI
971,Draper,UT
972,Chesterfield,MO
973,Cerritos,CA
974,Bedford,TX
975,St. Louis Park,MN
976,Azusa,CA
977,Euclid,OH
978,McLean,VA
979,Coral Gables,FL
980,Lincoln,CA
981,Jeffersonville,IN
982,Ceres,CA
983,Biloxi,MS
984,Lawrence,IN
985,Poway,CA
986,Cedar Hill,TX
987,Portage,MI
988,Rowland Heights,CA
989,Niagara Falls,NY
990,Dublin,OH
991,El Dorado Hills,CA
992,Mooresville,NC
993,North Highlands,CA
994,Antelope,CA
995,Spring Hill,TN
996,Everett,MA
997,University,FL
998,Roswell,NM
999,Leesburg,VA
1000,Rancho Santa Margarita,CA
1001,Tuckahoe,VA
1002,Titusville,FL
1003,Glenview,IL
1004,Wauwatosa,WI
1005,Stillwater,OK
1006,Minot,ND
1007,La Mirada,CA
1008,Wilson,NC
1009,Newark,CA
1010,Roseville,MI
1011,East Lansing,MI
1012,Mentor,OH
1013,Bothell,WA
1014,San Luis Obispo,CA
1015,Burleson,TX
1016,East Providence,RI
1017,Middletown,CT
1018,Brea,CA
1019,Salina,KS
1020,Potomac,MD
1021,Farmington,NM
1022,Sicklerville,NJ
1023,Ocoee,FL
1024,Hilo,HI
1025,Oro Valley,AZ
1026,Fort Pierce,FL
1027,Wake Forest,NC
1028,Beavercreek,OH
1029,Strongsville,OH
1030,Rockwall,TX
1031,Attleboro,MA
1032,Winter Garden,FL
1033,Pearl City,HI
1034,Haltom City,TX
1035,Altamonte Springs,FL
1036,Hackensack,NJ
1037,Westfield,IN
1038,Elmhurst,IL
1039,Bountiful,UT
1040,Littleton,CO
1041,Huntsville,TX
1042,Cleveland Heights,OH
1043,Morgan Hill,CA
1044,Keller,TX
1045,Kyle,TX
1046,Little Elm,TX
1047,Whitney,NV
1048,Prescott,AZ
1049,Sayreville,NJ
1050,Urbandale,IA
1051,Ashburn,VA
1052,Sierra Vista,AZ
1053,Cutler Bay,FL
1054,Palm Springs,CA
1055,Riverton,UT
1056,Lake Ridge,VA
1057,North Lauderdale,FL
1058,Fairfield,OH
1059,West Lafayette,IN
1060,Goose Creek,SC
1061,Salem,MA
1062,Los Banos,CA
1063,Rohnert Park,CA
1064,Fond du Lac,WI
1065,Brentwood,TN
1066,Freeport,NY
1067,Lombard,IL
1068,Plainfield,IL
1069,Lompoc,CA
1070,Trujillo Alto,PR
1071,Burke,VA
1072,Moorhead,MN
1073,Oakland Park,FL
1074,Wilkes-Barre,PA
1075,Campbell,CA
1076,Mankato,MN
1077,Pittsfield,MA
1078,San Bruno,CA
1079,Danville,CA
1080,Concord,NH
1081,The Colony,TX
1082,Odenton,MD
1083,Greenacres,FL
1084,West Babylon,NY
1085,Shakopee,MN
1086,Linden,NJ
1087,Altadena,CA
1088,North Miami Beach,FL
1089,Gallatin,TN
1090,Wentzville,MO
1091,Hicksville,NY
1092,Jefferson City,MO
1093,Buffalo Grove,IL
1094,Woonsocket,RI
1095,Oakley,CA
1096,Eagle Mountain,UT
1097,Catonsville,MD
1098,Woodbridge,VA
1099,Ormond Beach,FL
1100,Moline,IL
1101,Huber Heights,OH
1102,Edmonds,WA
1103,Manassas,VA
1104,Danville,VA
1105,Pahrump,NV
1106,Belleville,IL
1107,Beverly,MA
1108,Midland,MI
1109,Coppell,TX
1110,Channelview,TX
1111,Puyallup,WA
1112,Rancho Palos Verdes,CA
1113,Coachella,CA
1114,Linton Hall,VA
1115,Peachtree Corners,GA
1116,Woodlawn,MD
1117,Pine Bluff,AR
